"Team","Team.link","team.link.ref","Conf","Conf.link","conf.link.ref","Year"
"UC San Diego","team.php?team=UC+San+Diego","UC+San+Diego","BW","conf.php?c=BW","BW",2025
"UC Santa Barbara","team.php?team=UC+Santa+Barbara","UC+Santa+Barbara","BW","conf.php?c=BW","BW",2025
"UCF","team.php?team=UCF","UCF","B12","conf.php?c=B12","B12",2025
"UCLA","team.php?team=UCLA","UCLA","B10","conf.php?c=B10","B10",2025
"UMBC","team.php?team=UMBC","UMBC","AE","conf.php?c=AE","AE",2025
"UMass Lowell","team.php?team=UMass+Lowell","UMass+Lowell","AE","conf.php?c=AE","AE",2025
"UNC Asheville","team.php?team=UNC+Asheville","UNC+Asheville","BSth","conf.php?c=BSth","BSth",2025
"UNC Greensboro","team.php?team=UNC+Greensboro","UNC+Greensboro","SC","conf.php?c=SC","SC",2025
"UNC Wilmington","team.php?team=UNC+Wilmington","UNC+Wilmington","CAA","conf.php?c=CAA","CAA",2025
"UNLV","team.php?team=UNLV","UNLV","MWC","conf.php?c=MWC","MWC",2025
"USC","team.php?team=USC","USC","B10","conf.php?c=B10","B10",2025
"USC Upstate","team.php?team=USC+Upstate","USC+Upstate","BSth","conf.php?c=BSth","BSth",2025
"UT Arlington","team.php?team=UT+Arlington","UT+Arlington","WAC","conf.php?c=WAC","WAC",2025
"UT Rio Grande Valley","team.php?team=UT+Rio+Grande+Valley","UT+Rio+Grande+Valley","Slnd","conf.php?c=Slnd","Slnd",2025
"UTEP","team.php?team=UTEP","UTEP","CUSA","conf.php?c=CUSA","CUSA",2025
"UTSA","team.php?team=UTSA","UTSA","Amer","conf.php?c=Amer","Amer",2025
"Utah","team.php?team=Utah","Utah","B12","conf.php?c=B12","B12",2025
"Utah St.","team.php?team=Utah+St.","Utah+St.","MWC","conf.php?c=MWC","MWC",2025
"Utah Tech","team.php?team=Utah+Tech","Utah+Tech","WAC","conf.php?c=WAC","WAC",2025
"Utah Valley","team.php?team=Utah+Valley","Utah+Valley","WAC","conf.php?c=WAC","WAC",2025
"VCU","team.php?team=VCU","VCU","A10","conf.php?c=A10","A10",2025
"VMI","team.php?team=VMI","VMI","SC","conf.php?c=SC","SC",2025
"Valparaiso","team.php?team=Valparaiso","Valparaiso","MVC","conf.php?c=MVC","MVC",2025
"Vanderbilt","team.php?team=Vanderbilt","Vanderbilt","SEC","conf.php?c=SEC","SEC",2025
"Vermont","team.php?team=Vermont","Vermont","AE","conf.php?c=AE","AE",2025
"Villanova","team.php?team=Villanova","Villanova","BE","conf.php?c=BE","BE",2025
"Virginia","team.php?team=Virginia","Virginia","ACC","conf.php?c=ACC","ACC",2025
"Virginia Tech","team.php?team=Virginia+Tech","Virginia+Tech","ACC","conf.php?c=ACC","ACC",2025
"Wagner","team.php?team=Wagner","Wagner","NEC","conf.php?c=NEC","NEC",2025
"Wake Forest","team.php?team=Wake+Forest","Wake+Forest","ACC","conf.php?c=ACC","ACC",2025
"Washington","team.php?team=Washington","Washington","B10","conf.php?c=B10","B10",2025
"Washington St.","team.php?team=Washington+St.","Washington+St.","WCC","conf.php?c=WCC","WCC",2025
"Weber St.","team.php?team=Weber+St.","Weber+St.","BSky","conf.php?c=BSky","BSky",2025
"West Georgia","team.php?team=West+Georgia","West+Georgia","ASun","conf.php?c=ASun","ASun",2025
"West Virginia","team.php?team=West+Virginia","West+Virginia","B12","conf.php?c=B12","B12",2025
"Western Carolina","team.php?team=Western+Carolina","Western+Carolina","SC","conf.php?c=SC","SC",2025
"Western Illinois","team.php?team=Western+Illinois","Western+Illinois","OVC","conf.php?c=OVC","OVC",2025
"Western Kentucky","team.php?team=Western+Kentucky","Western+Kentucky","CUSA","conf.php?c=CUSA","CUSA",2025
"Western Michigan","team.php?team=Western+Michigan","Western+Michigan","MAC","conf.php?c=MAC","MAC",2025
"Wichita St.","team.php?team=Wichita+St.","Wichita+St.","Amer","conf.php?c=Amer","Amer",2025
"William & Mary","team.php?team=William+%26+Mary","William+%26+Mary","CAA","conf.php?c=CAA","CAA",2025
